date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:04	2550/2550	---M--	200	added ('OK')	image/png	etag:%22a18a15d0a5b2199e49cb1cd02b37154c%22	https://stmatts.org/design/footerIcon5_03.png	stmatts.org/design/footerIcon5_03.png	(from https://stmatts.org/)
22:49:05	375/375	---M--	200	added ('OK')	application/rss+xml	date:Mon,%2005%20Jul%202021%2015:49:05%20GMT	https://stmatts.org/newsRSS?page=165382	stmatts.org/newsRSS13ca	(from https://stmatts.org/welcome)
22:49:06	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2015:49:06%20GMT	https://stmatts.org/pictures/2020/1/2020%20Parish%20Resource%20Guide%20Booklet%201.jpg	stmatts.org/pictures/2020/1/2020%20Parish%20Resource%20Guide%20Booklet%201.jpg	(from https://stmatts.org/welcome)
22:49:08	94351/94351	---MCZ	200	added ('OK')	text/html	etag:W/%227adf9e0552031ab1d2a5bdb092abb362%22	https://stmatts.org/connect	stmatts.org/connect.html	(from https://stmatts.org/welcome)
22:49:08	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2015:49:08%20GMT	https://stmatts.org/pictures/2020/2/our%20campus-2.png	stmatts.org/pictures/2020/2/our%20campus-2.png	(from https://stmatts.org/welcome)
22:49:09	378/378	---M--	200	added ('OK')	application/rss+xml	date:Mon,%2005%20Jul%202021%2015:49:09%20GMT	https://stmatts.org/newsRSS?page=427094	stmatts.org/newsRSSd840	(from https://stmatts.org/our-clergy)
22:49:10	33964/33964	---M--	200	added ('OK')	image/png	etag:%227e621230cd90766f4fe5c2dcfe2d58bc%22	https://stmatts.org/pictures/2020/1/H6-2.png	stmatts.org/pictures/2020/1/H6-2.png	(from https://stmatts.org/our-clergy)
22:49:11	32770/32770	---M--	200	added ('OK')	image/jpeg	etag:%2219f3de5c838102ee9bc1d9f280abdd86%22	https://stmatts.org/pictures/2020/1/Picture2-3.jpg	stmatts.org/pictures/2020/1/Picture2-3.jpg	(from https://stmatts.org/our-clergy)
22:49:12	30037/30037	---M--	200	added ('OK')	image/jpeg	etag:%226825ecb3db07aba88def1086e7edf2cf%22	https://stmatts.org/pictures/2021/6/Fr.%20Paul%20picture%202-1-1-2.jpg	stmatts.org/pictures/2021/6/Fr.%20Paul%20picture%202-1-1-2.jpg	(from https://stmatts.org/our-clergy)
22:49:13	8809/8809	---M--	200	added ('OK')	image/jpeg	etag:%227baaf11e935c9df9329b253b7675526b%22	https://stmatts.org/pictures/2021/6/Picture4-1-2.jpg	stmatts.org/pictures/2021/6/Picture4-1-2.jpg	(from https://stmatts.org/our-clergy)
22:49:14	378/378	---M--	200	added ('OK')	application/rss+xml	date:Mon,%2005%20Jul%202021%2015:49:14%20GMT	https://stmatts.org/newsRSS?page=161054	stmatts.org/newsRSS8912	(from https://stmatts.org/ourpastor)
22:49:15	15527/15527	---M--	200	added ('OK')	image/jpeg	etag:%22e391ffc405e3e9282f63984acf779b28%22	https://stmatts.org/pictures/2016/9/Picture3-1.jpg	stmatts.org/pictures/2016/9/Picture3-1.jpg	(from https://stmatts.org/ourpastor)
22:49:16	384/384	---M--	200	added ('OK')	application/rss+xml	date:Mon,%2005%20Jul%202021%2015:49:16%20GMT	https://stmatts.org/newsRSS?page=228691	stmatts.org/newsRSS4331	(from https://stmatts.org/fr-duncan-amek)
22:49:17	31347/31347	---M--	200	added ('OK')	image/png	etag:%225d0ee3b3c006120d751cedf46ae3adf8%22	https://stmatts.org/pictures/2020/1/fr%20duncan-2.png	stmatts.org/pictures/2020/1/fr%20duncan-2.png	(from https://stmatts.org/fr-duncan-amek)
22:49:18	10877/10877	---M--	200	added ('OK')	image/jpeg	etag:%225f6b8b3ea85f763391123692d2d9cd4b%22	https://stmatts.org/pictures/2021/6/Fr.%20Paul%20picture.jpg	stmatts.org/pictures/2021/6/Fr.%20Paul%20picture.jpg	(from https://stmatts.org/fr-duncan-amek)
22:49:19	388/388	---M--	200	added ('OK')	application/rss+xml	date:Mon,%2005%20Jul%202021%2015:49:19%20GMT	https://stmatts.org/newsRSS?page=194432	stmatts.org/newsRSS6fc5	(from https://stmatts.org/priestsinresidence)
